Date,Open,High,Low,Close,Adj Close,Volume
2023-05-05,60.610001,61.740002,60.110001,61.230000,61.115002,12305900
2023-05-08,61.250000,61.349998,60.310001,60.869999,60.755676,11510400
2023-05-09,59.880001,61.389999,59.549999,60.930000,60.815563,11895200
2023-05-10,61.919998,62.310001,59.790001,59.990002,59.877331,14548700
2023-05-11,60.590000,61.810001,60.070000,61.610001,61.494289,15536600
2023-05-12,61.990002,62.189999,60.150002,60.919998,60.805580,12123400
2023-05-15,62.230000,64.870003,61.799999,64.639999,64.518593,22227200
2023-05-16,64.550003,65.220001,63.299999,63.730000,63.610306,15259000
2023-05-17,64.580002,65.320000,63.439999,64.919998,64.798073,15947700
2023-05-18,65.980003,68.589996,65.080002,67.570000,67.443092,30688000
2023-05-19,67.570000,68.389999,66.430000,68.169998,68.041962,16807800
2023-05-22,65.750000,66.750000,64.760002,66.230003,66.105614,37491000
2023-05-23,65.849998,67.559998,65.709999,66.010002,65.886024,15896200
2023-05-24,64.949997,66.730003,64.879997,66.529999,66.405045,15806600
2023-05-25,69.750000,69.879997,67.510002,69.610001,69.479263,29021500
2023-05-26,69.879997,74.589996,69.800003,73.930000,73.791153,33410000
2023-05-30,74.389999,74.769997,71.580002,71.690002,71.555359,24454700
2023-05-31,68.900002,69.849998,67.919998,68.199997,68.071907,30403600
2023-06-01,68.940002,69.790001,68.099998,69.089996,68.960236,18153000
2023-06-02,69.989998,70.550003,68.290001,69.169998,69.040085,13457700
2023-06-05,69.500000,69.500000,67.510002,67.769997,67.642715,12441100
2023-06-06,67.029999,68.839996,66.820000,67.540001,67.413155,12476600
2023-06-07,68.410004,68.669998,66.940002,67.059998,66.934052,14610800
2023-06-08,66.500000,66.519997,64.010002,65.320000,65.197319,25856800
2023-06-09,65.930000,66.400002,64.470001,65.430000,65.307114,14649300
2023-06-12,65.839996,67.540001,65.790001,67.449997,67.323318,14731100
2023-06-13,68.559998,68.879997,67.599998,67.870003,67.742531,11911900
2023-06-14,67.540001,69.209999,67.519997,69.120003,68.990189,11085800
2023-06-15,68.589996,69.519997,68.360001,68.820000,68.690742,11842600
2023-06-16,70.150002,70.500000,66.059998,67.660004,67.532928,32252600
2023-06-20,67.320000,67.620003,65.769997,66.900002,66.774353,13261600
2023-06-21,66.750000,67.199997,65.339996,65.800003,65.676422,10427200
2023-06-22,65.529999,66.660004,65.510002,66.250000,66.125572,8639500
2023-06-23,65.449997,65.959999,64.839996,65.279999,65.157394,12646700
2023-06-26,65.629997,66.699997,65.410004,65.449997,65.327072,13815900
2023-06-27,65.269997,66.839996,63.790001,66.790001,66.664558,18305200
